codCliente,codPoliza,Ramo,Y,Salud,Vida,Autos,Cumplimiento,Patrimoniales,Otros
138825,136374,Autos,Patrimoniales,0,0,1,0,0,0
138826,137117,Cumplimiento,Patrimoniales,0,0,0,1,0,0
138826,168221,Patrimoniales,Autos,0,0,0,1,1,0
138834,137247,Cumplimiento,Autos,0,0,0,1,0,0
138838,136391,Autos,Patrimoniales,0,0,1,0,0,0
138842,136399,Autos,Patrimoniales,0,0,1,0,0,0
138843,136400,Autos,Vida,0,0,1,0,0,0
138843,139072,Vida,Patrimoniales,0,1,1,0,0,0
138844,136401,Autos,Patrimoniales,0,0,1,0,0,0
138846,136405,Autos,Patrimoniales,0,0,1,0,0,0
138848,136409,Autos,Vida,0,0,1,0,0,0
138851,136412,Autos,Patrimoniales,0,0,1,0,0,0
138868,136443,Autos,Salud,0,0,1,0,0,0
138868,138816,Salud,Vida,1,0,1,0,0,0
138875,139106,Vida,Autos,0,1,0,0,0,0
138879,139047,Vida,Autos,0,1,0,0,0,0
138880,138376,Cumplimiento,Autos,0,0,0,1,0,0
138880,136462,Autos,Patrimoniales,0,0,1,1,0,0
138883,137104,Autos,Vida,0,0,1,0,0,0
138884,136468,Autos,Patrimoniales,0,0,1,0,0,0
138884,138719,Patrimoniales,Salud,0,0,1,0,1,0
138890,139101,Vida,Autos,0,1,0,0,0,0
138890,187319,Autos,Patrimoniales,0,1,1,0,0,0
138892,136479,Autos,Patrimoniales,0,0,1,0,0,0
138892,138778,Patrimoniales,Vida,0,0,1,0,1,0
138896,136484,Autos,Patrimoniales,0,0,1,0,0,0
138897,139099,Vida,Autos,0,1,0,0,0,0
138901,138784,Patrimoniales,Autos,0,0,0,0,1,0
138907,137131,Cumplimiento,Patrimoniales,0,0,0,1,0,0
138907,138856,Patrimoniales,Vida,0,0,0,1,1,0
138913,137262,Cumplimiento,Patrimoniales,0,0,0,1,0,0
138918,139022,Vida,Salud,0,1,0,0,0,0
138919,137151,Cumplimiento,Patrimoniales,0,0,0,1,0,0
138919,138829,Patrimoniales,Vida,0,0,0,1,1,0
138919,139044,Vida,Autos,0,1,0,1,1,0
138921,137252,Cumplimiento,Patrimoniales,0,0,0,1,0,0
138922,136579,Cumplimiento,Patrimoniales,0,0,0,1,0,0
139090,137016,Cumplimiento,Patrimoniales,0,0,0,1,0,0
139091,137017,Cumplimiento,Patrimoniales,0,0,0,1,0,0
139094,137042,Salud,Autos,1,0,0,0,0,0
139105,138969,Salud,Autos,1,0,0,0,0,0
139106,137378,Cumplimiento,Autos,0,0,0,1,0,0
139106,137079,Autos,Patrimoniales,0,0,1,1,0,0
139108,138793,Patrimoniales,Autos,0,0,0,0,1,0
139109,137362,Cumplimiento,Patrimoniales,0,0,0,1,0,0
139112,138973,Salud,Autos,1,0,0,0,0,0
139120,137097,Autos,Patrimoniales,0,0,1,0,0,0
139127,137120,Patrimoniales,Cumplimiento,0,0,0,0,1,0
139130,137130,Cumplimiento,Patrimoniales,0,0,0,1,0,0
139132,137137,Cumplimiento,Patrimoniales,0,0,0,1,0,0
139174,137229,Cumplimiento,Patrimoniales,0,0,0,1,0,0
139184,137268,Cumplimiento,Patrimoniales,0,0,0,1,0,0
139205,137468,Cumplimiento,Patrimoniales,0,0,0,1,0,0
139214,137399,Cumplimiento,Patrimoniales,0,0,0,1,0,0
139215,137921,Cumplimiento,Patrimoniales,0,0,0,1,0,0
139223,137476,Cumplimiento,Patrimoniales,0,0,0,1,0,0
139235,137384,Cumplimiento,Patrimoniales,0,0,0,1,0,0
139241,137641,Cumplimiento,Patrimoniales,0,0,0,1,0,0
139241,138880,Patrimoniales,Vida,0,0,0,1,1,0
139252,137524,Cumplimiento,Patrimoniales,0,0,0,1,0,0
139257,138564,Cumplimiento,Patrimoniales,0,0,0,1,0,0
139258,137538,Cumplimiento,Patrimoniales,0,0,0,1,0,0
