codCliente,codPoliza,Edad,Ramo,Y,Salud,Vida,Autos,Cumplimiento,Patrimoniales,Otros
113928,99289,35,Patrimoniales,Salud,0,1,1,0,1,0
113937,99298,40,Cumplimiento,Vida,0,0,0,1,0,0
113937,156219,40,Vida,Salud,0,1,0,1,0,0
113943,99588,0,Vida,Salud,0,1,0,0,0,0
113948,99312,0,Vida,Patrimoniales,0,1,0,0,0,0
113967,99567,40,Vida,Cumplimiento,0,1,0,0,0,0
113975,99344,48,Salud,Vida,1,0,0,0,0,0
113978,135122,36,Autos,Vida,0,0,1,0,0,0
113983,99556,37,Vida,Salud,0,1,0,0,0,0
113994,99366,28,Salud,Patrimoniales,1,0,0,0,0,0
114011,99386,38,Vida,Salud,0,1,0,0,0,0
114058,99760,34,Salud,Vida,1,0,0,0,0,0
114749,135124,68,Autos,Salud,0,0,1,0,0,0
114785,99829,0,Autos,Salud,0,0,1,0,0,0
118109,135109,46,Autos,Cumplimiento,0,0,1,0,0,0
120307,100055,29,Salud,Vida,1,0,0,0,0,0
120309,100057,49,Salud,Autos,1,0,0,0,0,0
120322,100069,34,Cumplimiento,Patrimoniales,0,0,0,1,0,0
120324,118051,35,Autos,Vida,0,0,1,0,0,0
120660,160531,26,Salud,Autos,1,0,0,0,0,0
120660,100628,26,Autos,Vida,1,0,1,0,0,0
120705,102559,34,Patrimoniales,Vida,0,0,0,0,1,0
120723,152025,64,Autos,Salud,0,0,1,0,0,0
120750,100872,28,Salud,Autos,1,0,0,0,0,0
120817,101280,64,Patrimoniales,Salud,0,0,0,0,1,0
120819,102158,36,Vida,Patrimoniales,0,1,0,0,0,0
120824,101207,81,Patrimoniales,Salud,0,0,0,0,1,0
120828,101220,68,Patrimoniales,Salud,0,0,0,0,1,0
120829,101281,67,Patrimoniales,Salud,0,0,0,0,1,0
120831,101293,67,Patrimoniales,Salud,0,0,0,0,1,0
120841,102286,40,Vida,Patrimoniales,0,1,0,0,0,0
120845,102089,38,Salud,Vida,1,0,0,0,0,0
